"Name","test_tydiqa_exact_match","test_xquad_exact_match","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","logging_dir","output_dir","run_name","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","train/epoch","train/global_step","train/learning_rate","train/loss","test_exact_match","test_f1","test_tydiqa_f1","test_xquad_f1","train/total_flos","train/train_loss","train/train_runtime","train/train_samples_per_second","train/train_steps_per_second","val_exact_match","val_f1"
"th_wordnet_aug_1.0","40.23877957108114","32.79661016949152","2023-08-31T18:53:58.000Z","1575","2023-08-31T19:20:13.000Z","yhde47c9","-","finished","2023-08-31T19:20:13.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_1.0/runs/Sep01_01-53-58_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_1.0","models/claq-qa-th-wangchanberta-th_wordnet_aug_1.0","1.6657689809799194","5.1016","442.21","3.528","10","2820","0","0.4609","38.69893038751534","54.14028604148706","55.53333822227269","48.80064619937504","38303818190876160","1.305399441549964","1425.8065","126.539","1.978","50.709219858156025","62.74736186372644"
"th_wordnet_aug_0.9","41.12314835286315","33.644067796610166","2023-08-31T18:27:53.000Z","1502","2023-08-31T18:52:55.000Z","jvki7gyz","-","finished","2023-08-31T18:52:55.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.9/runs/Sep01_01-27-52_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.9","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.9","1.6151330471038818","5.1004","442.321","3.529","10","2680","0","0.4153","39.57566193231632","54.52260837813756","56.13685919056833","48.335102933541805","36388839584947200","1.272824401286111","1357.7328","126.24","1.974","50.62056737588652","62.87034186928592"
"th_wordnet_aug_0.8","41.60955118284325","33.559322033898304","2023-08-31T18:02:56.000Z","1434","2023-08-31T18:26:50.000Z","n89jf4b3","-","finished","2023-08-31T18:26:50.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.8/runs/Sep01_01-02-55_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.8","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.8","1.57917058467865","5.1095","441.529","3.523","10","2540","0","0.41","39.94388918113274","55.071957779874374","56.645866719435105","49.03908478527122","34473860979018240","1.2831903803066944","1289.8767","125.888","1.969","51.684397163120565","63.779670571490904"
"th_wordnet_aug_0.7","41.03471147468495","33.30508474576271","2023-08-31T17:39:09.000Z","1364","2023-08-31T18:01:53.000Z","jfrvaznk","-","finished","2023-08-31T18:01:53.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.7/runs/Sep01_00-39-08_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.7","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.7","1.5706466436386108","5.1001","442.348","3.529","10","2400","0","0.4875","39.43538488514817","54.51626407637558","56.09012930554322","48.48355862593152","32558882373089280","1.3590487098693849","1221.7292","125.527","1.964","52.526595744680854","64.22059568407589"
"th_wordnet_aug_0.6","39.08910015476454","32.79661016949152","2023-08-31T17:16:34.000Z","1292","2023-08-31T17:38:06.000Z","2wziqc6r","-","finished","2023-08-31T17:38:06.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.6/runs/Sep01_00-16-34_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.6","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.6","1.5250065326690674","5.1021","442.175","3.528","10","2260","0","0.435","37.78712958092232","53.72903995990024","55.13296824868653","48.34771144279948","30643903767160320","1.3155837776386632","1153.4173","125.141","1.959","50.576241134751776","62.5907416588717"
"th_wordnet_aug_0.5","41.145257572407694","33.728813559322035","2023-08-31T16:55:14.000Z","1217","2023-08-31T17:15:31.000Z","16s2h736","-","finished","2023-08-31T17:15:31.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.5/runs/Aug31_23-55-14_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.5","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.5","1.544924259185791","5.1051","441.913","3.526","9.98","2110","0","0.4671","39.61073119410836","54.70408411306567","56.23410757313548","48.83942639281624","28659926486405760","1.346898408862652","1082.6532","124.98","1.949","51.90602836879432","63.78681370127304"
"th_wordnet_aug_0.4","42.31704620826885","33.644067796610166","2023-08-31T16:35:00.000Z","1151","2023-08-31T16:54:11.000Z","bfl3mzhx","-","finished","2023-08-31T16:54:11.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.4/runs/Aug31_23-34-59_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.4","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.4","1.501661777496338","5.1161","440.96","3.518","9.97","1970","0","0.4973","40.52253200070138","54.70831962549494","56.20578208568461","48.96846987343","26746221702165890","1.3706104762663092","1015.1371","124.407","1.941","52.34929078014184","63.72288025213565"
"th_wordnet_aug_0.3","37.40879946937873","31.779661016949152","2023-08-31T16:15:59.000Z","1078","2023-08-31T16:33:57.000Z","6bcu7cad","-","finished","2023-08-31T16:33:57.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.3/runs/Aug31_23-15-58_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.3","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.3","1.4676278829574585","5.1186","440.742","3.517","9.97","1830","0","0.5525","36.24408206207259","53.045610871461896","54.36260238566901","47.99751543183748","24832516917926016","1.4607840115906765","946.3473","123.919","1.934","51.06382978723404","62.895771456857226"
"th_wordnet_aug_0.2","39.50917532611099","32.28813559322034","2023-08-31T15:58:08.000Z","1008","2023-08-31T16:14:56.000Z","ydodjnfi","-","finished","2023-08-31T16:14:56.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.2/runs/Aug31_22-58-07_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.2","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.2","1.4935919046401978","5.105","441.919","3.526","9.97","1690","0","0.6545","38.015079782570574","53.65951449318207","55.248402610531265","47.569225548462825","22918812133686144","1.572101755537225","878.3989","123.236","1.924","50.265957446808514","62.4926574636711"
"th_wordnet_aug_0.1","39.97346893654654","33.220338983050844","2023-08-31T15:41:28.000Z","937","2023-08-31T15:57:05.000Z","ov2iebe6","-","finished","2023-08-31T15:57:05.000Z","","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.1/runs/Aug31_22-41-27_apex-foobox","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.1","models/claq-qa-th-wangchanberta-th_wordnet_aug_0.1","1.434815764427185","5.1052","441.906","3.526","9.97","1550","0","0.7763","38.57618797124321","53.759032040630345","55.25656879016522","48.01889753372805","21005107349446270","1.7302435844175277","809.6169","122.564","1.914","49.46808510638298","61.62062263597136"
