id,th_fasttext_aug
82c589fda5d3007be968f303e04a9ac58953299a64a5bed0d9a16307bf10f1e0,พัณณ์ธีภ ศรุติวัฒน์2โภคิน เกิดวันที่ไหร่่ ?
6483e513603bd34b6f23a5fbe9e1c1db194ce4f4365a69b43a1df330e57931a8,พัทธ์ธีรา ศิษฎพงศ์อรัช dcccxxxii ในPSPเล่นว่าอะไร2 ?
09fc57198420c10d8cd67154a154cca37fdcde53ec894a369ce0476e5c77ede4,รพนธ์ธีคาต ศรุติวรรณ2โภคิน ทำอาชีพอะไร4 ?
7b2f336d3dbc29c6fb1edf7f4988f968ed0a1272fe8affb2015789c753e0f9d3,พัทธ์ธีรา ตอัตถพงศ์ฯกุล1 จบการศึกษาจากภ.ต่างอะไร5 ?
50c66c986cdf19b60f36da1b89137a6ceb4f11aa9ed0e9eb61c5c2f2c3acbc1c,บิดาของมเนสโอพัตตกฺขหลายๆใคร ?
540d3eacf867e2ef2911d463c322ac53b845f78b42089c0633f1f37acf7e0f93,นพ.บีคัสซึพัตราใน Barenภาษา กรีกแปลจริงๆอะไร ?
0fc05a276c207aa539d1ccf02929ef651c79768fb3df1e8c4ed55ed57f8fb076,ปณ.ทั่วออสเตรเลียใหญ่3dช่องเป็นอันดับที่เท่าไหร่เฉพาะโลก ?
cb9c87e7affa06fee9a172d090aa57c1016d21ab039654f66e70eb268557aabf,นศ.ทั่วออสเตรเลียปกครองด้วยรัฐประหารอะไรVPN ?
1cba11d55d37ec89e2545a6b5656e9ce35a23f45e467c604d70160edadb13408,"ประเทศออสเตรเลียๆลง 1,735,762 เท่าไหร่ ?"
c27c02891d7422ce744a25d92140013ce553ed156bac80dc63a9a5da5f81ddd5,วันสันติภาพหมู่:พรรณ ไม่วันที่เป็นไร ?
fdc3b1be787a49150bc88b469d3b5094879332b6530228adc5ea22c9ebdfc794,วันสงครามอาเซียน เป็นวันที่ระลึกถึงเพราะ ?
84aa186a0b48cb66ad7b30ce8a1c180e1481442d276aed99effc799e2e43f0c2,วันสันติภาพฝรั่งเศส พร้อม 14ประกาศ จากใคร ?
1a9ba470a0fa6d6eb3366e40473d704bac77a2b37c42b4cb786df778cd58a536,ทำไม่ต้อง 0910051667ประกาศ ศุกร์1สันติภาพ TürkçeالعربيةSvenska ?
4cf7fab6d26fbe0ab7e1c673a1c931672c9427eca8f24ea497df0b53f88fa707,วันตึงเครียดไทย ถึงในและสงครามอะไร ?
b8735178f8ed5e6d9e26a31272a821a131738a1ebdc0db1e00ee6720f4b1ba78,ประเทศนิวซีแลนด์Littleประกอบด้วยเกาะๆเล็กจำนวนกี่เกาะ ?
d33e1d00a3c833b12774900c4b2588e195e37dde706cc9e43d3dabea8d0c8f00,นิวซีแลนด์นั้นแต่ละอาณานิคมของประเทศผิด018 ?
3f22cc22fe7abf85ddc82ee28e3fe1d6bc3a18ebf115e34ca11484f135b8dd8e,กีฬาประจำชาติเสมือนนิวซีแลนด์ที่สุดกีฬา q:ชนิด ใด ?
